area_type,availability,location,size,society,total_sqft,bath,balcony,price,total_sqft_num,BHK,Price_per_SqFt
Built-up  Area,18-Apr,Lingadheeranahalli,3 BHK,,1310,2.0,3.0,103.08919164487628,1310.0,3,7869.403942356968
Super built-up  Area,19-May,Chikka Tirupathi,4 BHK,SollyCl,1310,4.0,0.0,383.37519263495216,1310.0,4,29265.2818805307
Carpet  Area,18-Apr,Old Airport Road,6 Bedroom,Mainpro,1521,1.0,1.0,84.22405331220097,1521.0,6,5537.413104023732
Carpet  Area,19-May,Lingadheeranahalli,4 Bedroom,Mainpro,1056,3.0,0.0,380.5957711840662,1056.0,4,36041.26621061233
Carpet  Area,19-May,Uttarahalli,2 BHK,Theanmp,2600,1.0,0.0,277.2493603622633,2600.0,2,10663.436937010127
Built-up  Area,18-Apr,Electronic City Phase II,4 BHK,Prrscly,1310,3.0,0.0,52.10938634092555,1310.0,4,3977.8157512156913
Plot  Area,19-May,Uttarahalli,2 BHK,Mainpro,1206,3.0,0.0,329.5061069909151,1206.0,2,27322.231093774055
Plot  Area,18-Apr,Electronic City Phase II,4 Bedroom,Mainpro,2700,4.0,1.0,141.40578580506883,2700.0,4,5237.251326113661
Plot  Area,18-Apr,Electronic City Phase II,6 Bedroom,,1310,4.0,1.0,141.6338593777531,1310.0,6,10811.744990668178
Carpet  Area,19-May,Chikka Tirupathi,3 Bedroom,,1310,1.0,3.0,281.9270648091954,1310.0,3,21521.14998543476
Built-up  Area,19-May,Lingadheeranahalli,2 BHK,SollyCl,1056,1.0,0.0,115.8996700321914,1056.0,2,10975.347540927214
Carpet  Area,18-Dec,Chikka Tirupathi,3 Bedroom,,1440,3.0,3.0,377.03033755811794,1440.0,3,26182.662330424857
Super built-up  Area,19-May,Chikka Tirupathi,3 BHK,Theanmp,1521,3.0,1.0,322.6412091518372,1521.0,3,21212.439786445575
Built-up  Area,18-Apr,Electronic City Phase II,6 Bedroom,,1206,5.0,1.0,211.05237037310545,1206.0,6,17500.19654835037
Carpet  Area,18-Apr,Whitefield,2 BHK,,1100 - 1500,1.0,0.0,213.91256747913437,1300.0,2,16454.812883010334
Built-up  Area,Ready To Move,Lingadheeranahalli,2 BHK,,2600,3.0,3.0,100.04366193454426,2600.0,2,3847.8331513286253
Plot  Area,19-May,Lingadheeranahalli,6 Bedroom,,1100 - 1500,3.0,3.0,107.25408872984804,1300.0,6,8250.31451768062
Carpet  Area,18-Dec,Lingadheeranahalli,4 BHK,Mainpro,1440,1.0,1.0,367.96939980388,1440.0,4,25553.43054193611
Built-up  Area,Ready To Move,Electronic City Phase II,1 BHK,Theanmp,1521,5.0,2.0,343.6153865219903,1521.0,1,22591.41265759305
Built-up  Area,18-Dec,Lingadheeranahalli,4 BHK,Coomege ,2700,3.0,2.0,136.5321897834003,2700.0,4,5056.747769755567
Plot  Area,Ready To Move,Rajaji Nagar,4 BHK,,1100 - 1500,4.0,1.0,167.50428831293507,1300.0,4,12884.94525484116
Super built-up  Area,18-Apr,Kothanur,4 Bedroom,Prrscly,2600,2.0,3.0,322.9108006633675,2600.0,4,12419.646179360288
Super built-up  Area,18-Dec,Chikka Tirupathi,2 BHK,Prrscly,1310,4.0,0.0,46.55183664178436,1310.0,2,3553.5753161667453
Plot  Area,19-May,Rajaji Nagar,1 BHK,SollyCl,2600,4.0,0.0,391.4594234317443,2600.0,1,15056.131670451703
Plot  Area,Ready To Move,Lingadheeranahalli,3 Bedroom,,1440,1.0,1.0,144.02444345486873,1440.0,3,10001.697462143662
Built-up  Area,19-May,Whitefield,6 Bedroom,Prrscly,1521,2.0,2.0,316.39236523494884,1521.0,6,20801.601922087368
Built-up  Area,Ready To Move,Kothanur,4 BHK,Mainpro,1440,1.0,3.0,170.44044278398292,1440.0,4,11836.141859998812
Built-up  Area,Ready To Move,Kothanur,1 BHK,,1310,2.0,3.0,288.0955252150883,1310.0,1,21992.024825579258
Super built-up  Area,18-Apr,Old Airport Road,3 BHK,Theanmp,1100 - 1500,5.0,3.0,83.77006333497957,1300.0,3,6443.851025767659
Carpet  Area,19-May,Lingadheeranahalli,1 BHK,Mainpro,1056,5.0,0.0,229.8252696418137,1056.0,1,21763.75659486872
Plot  Area,19-May,Rajaji Nagar,3 BHK,Coomege ,1440,1.0,3.0,66.19041867262914,1440.0,3,4596.556852265912
Super built-up  Area,18-Dec,Chikka Tirupathi,6 Bedroom,Theanmp,1100 - 1500,3.0,2.0,48.549726655540695,1300.0,6,3734.594358118515
Plot  Area,19-May,Kothanur,4 Bedroom,Mainpro,1440,4.0,2.0,380.1692531719826,1440.0,4,26400.642581387678
Plot  Area,18-Apr,Lingadheeranahalli,6 Bedroom,Theanmp,1100 - 1500,5.0,2.0,340.5084423938692,1300.0,6,26192.957107220704
Carpet  Area,18-Apr,Electronic City Phase II,3 Bedroom,SollyCl,2700,1.0,2.0,141.57647765494107,2700.0,3,5243.573246479299
Super built-up  Area,18-Apr,Kothanur,4 Bedroom,,1056,5.0,3.0,37.32103049059724,1056.0,4,3534.188493427769
Built-up  Area,Ready To Move,Whitefield,6 Bedroom,Theanmp,1056,2.0,1.0,261.20377378320563,1056.0,6,24735.205850682352
Carpet  Area,18-Apr,Chikka Tirupathi,6 Bedroom,Mainpro,1100 - 1500,1.0,3.0,43.23350701096916,1300.0,6,3325.6543854591664
Plot  Area,Ready To Move,Old Airport Road,1 BHK,Prrscly,2600,2.0,3.0,324.9525882748846,2600.0,1,12498.176472110947
Plot  Area,19-May,Rajaji Nagar,4 Bedroom,,1056,3.0,2.0,151.0141522058924,1056.0,4,14300.582595254964
Carpet  Area,19-May,Lingadheeranahalli,4 BHK,Theanmp,2600,3.0,1.0,126.72794163028968,2600.0,4,4874.151601164988
Built-up  Area,Ready To Move,Uttarahalli,4 BHK,Coomege ,2700,1.0,1.0,244.4682151193425,2700.0,4,9054.378337753426
Super built-up  Area,19-May,Lingadheeranahalli,4 Bedroom,Mainpro,1440,4.0,3.0,291.44294371263163,1440.0,4,20239.093313377194
Plot  Area,Ready To Move,Lingadheeranahalli,1 BHK,SollyCl,2600,4.0,2.0,86.81037764075788,2600.0,1,3338.8606784906874
Built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,SollyCl,1056,5.0,2.0,44.271320411923824,1056.0,3,4192.359887492787
Carpet  Area,19-May,Uttarahalli,4 BHK,Theanmp,1100 - 1500,2.0,0.0,198.6290381393285,1300.0,4,15279.156779948344
Plot  Area,18-Apr,Electronic City Phase II,3 Bedroom,Prrscly,1521,2.0,2.0,30.067897960851592,1521.0,3,1976.8506220152265
Built-up  Area,18-Dec,Chikka Tirupathi,2 BHK,Coomege ,1100 - 1500,5.0,0.0,286.87646427250064,1300.0,2,22067.420328653898
Carpet  Area,18-Apr,Chikka Tirupathi,4 Bedroom,Coomege ,1056,5.0,3.0,124.55157265743554,1056.0,4,11794.656501651092
Plot  Area,Ready To Move,Chikka Tirupathi,3 Bedroom,Mainpro,2700,3.0,0.0,308.0919174025498,2700.0,3,11410.811755649995
Plot  Area,19-May,Chikka Tirupathi,4 BHK,Coomege ,1056,4.0,0.0,277.6506208657844,1056.0,4,26292.67243047201
Plot  Area,18-Apr,Whitefield,4 BHK,Coomege ,2600,1.0,0.0,325.4197408077798,2600.0,4,12516.143877222301
Carpet  Area,Ready To Move,Whitefield,3 Bedroom,Theanmp,1206,4.0,0.0,239.8810255421686,1206.0,3,19890.632300345656
Built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,SollyCl,1310,2.0,3.0,81.84836567079536,1310.0,2,6247.966845098882
Carpet  Area,18-Dec,Uttarahalli,3 BHK,SollyCl,1521,3.0,0.0,99.96840402886744,1521.0,3,6572.544643581029
Carpet  Area,18-Dec,Chikka Tirupathi,3 Bedroom,Prrscly,2600,2.0,2.0,308.3734712954823,2600.0,3,11860.51812674932
Plot  Area,18-Apr,Chikka Tirupathi,2 BHK,Coomege ,1521,3.0,2.0,111.44862260662012,1521.0,2,7327.325615162401
Built-up  Area,Ready To Move,Whitefield,3 BHK,Coomege ,1440,4.0,1.0,45.024850053463325,1440.0,3,3126.7256981571754
Super built-up  Area,Ready To Move,Whitefield,4 BHK,SollyCl,2700,4.0,1.0,388.0584253810618,2700.0,4,14372.53427337266
Carpet  Area,Ready To Move,Old Airport Road,2 BHK,Mainpro,1440,5.0,1.0,30.256608227700823,1440.0,2,2101.1533491458904
Super built-up  Area,Ready To Move,Lingadheeranahalli,2 BHK,Prrscly,2700,2.0,2.0,285.0380856674028,2700.0,2,10556.966135829734
Built-up  Area,Ready To Move,Old Airport Road,3 BHK,Prrscly,1056,4.0,3.0,45.99348186569191,1056.0,3,4355.443358493552
Carpet  Area,18-Dec,Uttarahalli,2 BHK,Mainpro,1521,5.0,3.0,292.41642461898766,1521.0,2,19225.274465416678
Built-up  Area,Ready To Move,Old Airport Road,3 BHK,,1100 - 1500,3.0,3.0,123.07145428699,1300.0,3,9467.034945153076
Carpet  Area,18-Dec,Whitefield,4 Bedroom,Mainpro,1100 - 1500,2.0,0.0,212.95907780575183,1300.0,4,16381.467523519372
Super built-up  Area,18-Apr,Lingadheeranahalli,3 Bedroom,Prrscly,1440,3.0,3.0,142.21081605526206,1440.0,3,9875.751114948753
Built-up  Area,Ready To Move,Rajaji Nagar,6 Bedroom,,1310,1.0,1.0,89.69787200050382,1310.0,6,6847.165801565177
Built-up  Area,Ready To Move,Old Airport Road,4 Bedroom,Mainpro,1100 - 1500,5.0,3.0,321.94946848622794,1300.0,4,24765.343729709843
Plot  Area,19-May,Old Airport Road,3 BHK,Mainpro,1206,4.0,1.0,309.1045568766791,1206.0,3,25630.5602716981
Carpet  Area,Ready To Move,Kothanur,2 BHK,,1100 - 1500,5.0,0.0,247.4766966866794,1300.0,2,19036.668975898414
Carpet  Area,Ready To Move,Old Airport Road,4 Bedroom,Mainpro,1521,3.0,1.0,384.4500060302052,1521.0,4,25276.13451875116
Carpet  Area,19-May,Chikka Tirupathi,6 Bedroom,SollyCl,2600,3.0,3.0,59.91999292216639,2600.0,6,2304.615112391015
Plot  Area,18-Dec,Lingadheeranahalli,2 BHK,Coomege ,2700,4.0,0.0,141.18840378173888,2700.0,2,5229.200140064403
Plot  Area,18-Dec,Rajaji Nagar,4 BHK,SollyCl,1206,3.0,0.0,189.73185698000685,1206.0,4,15732.326449420136
Plot  Area,Ready To Move,Lingadheeranahalli,2 BHK,Theanmp,1521,1.0,2.0,338.2297861818004,1521.0,2,22237.329794990168
Plot  Area,18-Dec,Rajaji Nagar,3 Bedroom,,1100 - 1500,3.0,2.0,370.57025954389945,1300.0,3,28505.404580299957
Plot  Area,18-Apr,Rajaji Nagar,2 BHK,SollyCl,1440,1.0,3.0,199.66216267512672,1440.0,2,13865.427963550466
Built-up  Area,19-May,Old Airport Road,2 BHK,Prrscly,2600,2.0,1.0,99.0179327484856,2600.0,2,3808.3820287879075
Plot  Area,19-May,Electronic City Phase II,3 BHK,Mainpro,1100 - 1500,4.0,2.0,397.5562726119362,1300.0,3,30581.251739379706
Built-up  Area,Ready To Move,Kothanur,3 BHK,Mainpro,1521,4.0,1.0,143.53164288498263,1521.0,3,9436.662911570193
Plot  Area,19-May,Lingadheeranahalli,2 BHK,SollyCl,2700,5.0,0.0,291.84781782090914,2700.0,2,10809.17843781145
Super built-up  Area,18-Dec,Electronic City Phase II,2 BHK,,2700,1.0,2.0,264.9702313509988,2700.0,2,9813.712272259216
Plot  Area,18-Apr,Electronic City Phase II,6 Bedroom,Prrscly,1100 - 1500,5.0,1.0,158.10329590426727,1300.0,6,12161.791992635943
Plot  Area,18-Apr,Old Airport Road,6 Bedroom,Coomege ,2700,5.0,3.0,186.40624650491705,2700.0,6,6903.935055737668
Plot  Area,19-May,Old Airport Road,3 BHK,,1056,3.0,3.0,381.5672254774208,1056.0,3,36133.25998839212
Carpet  Area,19-May,Lingadheeranahalli,3 BHK,,1056,2.0,1.0,323.459730977175,1056.0,3,30630.656342535513
Built-up  Area,18-Dec,Uttarahalli,4 Bedroom,SollyCl,1206,4.0,0.0,253.02774683715617,1206.0,4,20980.74186046071
Plot  Area,Ready To Move,Chikka Tirupathi,3 BHK,,1440,1.0,1.0,74.0462531105553,1440.0,3,5142.1009104552295
Super built-up  Area,Ready To Move,Kothanur,4 Bedroom,Theanmp,1056,5.0,1.0,107.01617647536776,1056.0,4,10134.10762077346
Built-up  Area,Ready To Move,Lingadheeranahalli,4 Bedroom,Coomege ,1056,2.0,3.0,173.67320684591866,1056.0,4,16446.32640586351
Built-up  Area,18-Dec,Uttarahalli,4 BHK,,1056,3.0,3.0,323.5773396248772,1056.0,4,30641.793525083067
Super built-up  Area,19-May,Old Airport Road,6 Bedroom,SollyCl,1310,5.0,3.0,157.0630605330001,1310.0,6,11989.546605572528
Super built-up  Area,18-Dec,Lingadheeranahalli,3 Bedroom,SollyCl,1100 - 1500,1.0,2.0,152.80078909013787,1300.0,3,11753.906853087528
Built-up  Area,Ready To Move,Electronic City Phase II,4 BHK,Mainpro,1206,5.0,1.0,367.0626008289358,1206.0,4,30436.368227938292
Super built-up  Area,18-Apr,Uttarahalli,6 Bedroom,Coomege ,1310,1.0,1.0,157.85444046298508,1310.0,6,12049.957287250769
Carpet  Area,18-Apr,Electronic City Phase II,1 BHK,Mainpro,2600,1.0,0.0,86.83494731853213,2600.0,1,3339.80566609739
Built-up  Area,19-May,Lingadheeranahalli,1 BHK,Coomege ,1056,3.0,3.0,280.14879115778257,1056.0,1,26529.241586911226
Plot  Area,Ready To Move,Lingadheeranahalli,2 BHK,Prrscly,1100 - 1500,1.0,1.0,232.88717851023176,1300.0,2,17914.398346940903
Super built-up  Area,18-Dec,Electronic City Phase II,1 BHK,SollyCl,1440,1.0,2.0,308.39516870413826,1440.0,1,21416.331160009602
Carpet  Area,18-Dec,Whitefield,6 Bedroom,SollyCl,1310,4.0,3.0,216.7754092783673,1310.0,6,16547.741166287582
Super built-up  Area,18-Apr,Old Airport Road,6 Bedroom,Mainpro,1206,2.0,1.0,249.7269225363117,1206.0,6,20707.041669677586
Built-up  Area,Ready To Move,Rajaji Nagar,4 Bedroom,,1310,5.0,2.0,249.2018778268194,1310.0,4,19023.044108917515
Carpet  Area,18-Dec,Kothanur,3 Bedroom,Mainpro,1310,1.0,1.0,222.70702172091424,1310.0,3,17000.536009230094
Built-up  Area,18-Dec,Uttarahalli,1 BHK,Coomege ,1440,4.0,0.0,380.1694051947729,1440.0,1,26400.653138525893
Plot  Area,18-Apr,Rajaji Nagar,4 Bedroom,Prrscly,1310,1.0,2.0,51.52924140187419,1310.0,4,3933.5298780056632
Carpet  Area,19-May,Chikka Tirupathi,1 BHK,,1100 - 1500,3.0,1.0,164.00135889469286,1300.0,1,12615.489145745605
Plot  Area,18-Apr,Whitefield,3 Bedroom,Theanmp,2600,4.0,0.0,389.3080690998249,2600.0,3,14973.387273070188
Carpet  Area,18-Apr,Whitefield,6 Bedroom,,1056,3.0,2.0,292.2363743925858,1056.0,6,27673.89909020699
Plot  Area,18-Apr,Kothanur,3 Bedroom,,1440,2.0,1.0,87.1685250976278,1440.0,3,6053.369798446375
Built-up  Area,18-Dec,Chikka Tirupathi,3 Bedroom,,1056,2.0,2.0,351.77548469667835,1056.0,3,33312.072414458176
Super built-up  Area,18-Dec,Kothanur,4 BHK,SollyCl,2600,2.0,3.0,161.21554056704792,2600.0,4,6200.597714117228
Built-up  Area,18-Dec,Chikka Tirupathi,6 Bedroom,Mainpro,2700,5.0,0.0,97.85055032305574,2700.0,6,3624.094456409472
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Coomege ,1056,5.0,3.0,76.75295938272458,1056.0,3,7268.272668818616
Plot  Area,18-Apr,Whitefield,2 BHK,,1310,1.0,3.0,307.7139601664331,1310.0,2,23489.61527988039
Super built-up  Area,19-May,Uttarahalli,4 Bedroom,Theanmp,1100 - 1500,2.0,0.0,333.2175565413267,1300.0,4,25632.11973394821
Super built-up  Area,18-Apr,Lingadheeranahalli,4 BHK,SollyCl,1056,2.0,2.0,282.88970909953747,1056.0,4,26788.79821018347
Super built-up  Area,18-Apr,Kothanur,2 BHK,,1521,4.0,1.0,351.03335160316755,1521.0,2,23079.11581874869
Carpet  Area,Ready To Move,Kothanur,3 BHK,SollyCl,1440,3.0,1.0,397.3804687962467,1440.0,3,27595.865888628243
Carpet  Area,18-Apr,Chikka Tirupathi,3 BHK,Theanmp,1310,5.0,1.0,302.0721110568183,1310.0,3,23058.93977532964
Carpet  Area,19-May,Whitefield,3 Bedroom,Mainpro,1440,2.0,3.0,104.88398462828462,1440.0,3,7283.610043630877
Plot  Area,18-Dec,Whitefield,2 BHK,SollyCl,1056,2.0,0.0,104.02461054899231,1056.0,2,9850.815392896999
Carpet  Area,19-May,Lingadheeranahalli,1 BHK,,1440,2.0,2.0,118.43869885866712,1440.0,1,8224.909642962995
Super built-up  Area,18-Apr,Uttarahalli,3 BHK,Coomege ,1440,5.0,2.0,252.47314370137863,1440.0,3,17532.85720148463
Carpet  Area,Ready To Move,Whitefield,1 BHK,Coomege ,2700,4.0,2.0,64.09501157667975,2700.0,1,2373.8893176548054
Carpet  Area,18-Dec,Chikka Tirupathi,1 BHK,Mainpro,1206,3.0,1.0,68.94078043651514,1206.0,1,5716.482623259962
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,,1100 - 1500,2.0,3.0,320.3744478017076,1300.0,4,24644.18829243905
Built-up  Area,19-May,Uttarahalli,4 BHK,Prrscly,1100 - 1500,3.0,1.0,73.61343398371719,1300.0,4,5662.571844901322
Plot  Area,Ready To Move,Chikka Tirupathi,6 Bedroom,SollyCl,1100 - 1500,5.0,0.0,66.43601660709828,1300.0,6,5110.462815930637
Plot  Area,18-Apr,Old Airport Road,1 BHK,,1310,1.0,3.0,243.4054859209791,1310.0,1,18580.57144434955
Built-up  Area,18-Apr,Chikka Tirupathi,4 Bedroom,Coomege ,1100 - 1500,1.0,1.0,137.87009194486905,1300.0,4,10605.39168806685
Plot  Area,18-Dec,Uttarahalli,3 BHK,Mainpro,1521,3.0,2.0,127.99192678088644,1521.0,3,8414.985324187142
Carpet  Area,Ready To Move,Chikka Tirupathi,3 Bedroom,,1206,1.0,0.0,80.56040920427665,1206.0,3,6679.967595711165
Carpet  Area,Ready To Move,Lingadheeranahalli,3 BHK,Mainpro,1521,5.0,3.0,231.9636945280067,1521.0,3,15250.735997896561
Plot  Area,18-Apr,Kothanur,1 BHK,,1100 - 1500,4.0,1.0,227.686359167534,1300.0,1,17514.33532057954
Plot  Area,18-Dec,Lingadheeranahalli,2 BHK,Theanmp,1100 - 1500,2.0,0.0,354.32421442326023,1300.0,2,27255.70880178925
Super built-up  Area,Ready To Move,Uttarahalli,4 Bedroom,Mainpro,1310,5.0,2.0,373.64428458649365,1310.0,4,28522.464472251424
Super built-up  Area,19-May,Electronic City Phase II,2 BHK,Theanmp,1056,5.0,0.0,297.7193392669654,1056.0,2,28193.119248765663
Built-up  Area,18-Dec,Old Airport Road,2 BHK,,2700,3.0,2.0,124.749418053601,2700.0,2,4620.348816800038
Plot  Area,18-Apr,Electronic City Phase II,3 BHK,,2600,1.0,3.0,148.94600909742644,2600.0,3,5728.692657593325
Carpet  Area,19-May,Lingadheeranahalli,1 BHK,Prrscly,1521,1.0,3.0,226.91165197000495,1521.0,1,14918.583298488164
Plot  Area,19-May,Rajaji Nagar,1 BHK,Coomege ,1440,5.0,2.0,112.80435448299532,1440.0,1,7833.635727985787
Built-up  Area,Ready To Move,Whitefield,6 Bedroom,Theanmp,1100 - 1500,3.0,0.0,368.2618844062569,1300.0,6,28327.837262019762
Plot  Area,Ready To Move,Old Airport Road,4 BHK,,1440,5.0,3.0,380.65071291073787,1440.0,4,26434.077285467905
Plot  Area,19-May,Whitefield,3 Bedroom,Prrscly,2600,2.0,3.0,317.1274842897052,2600.0,3,12197.21093421943
Built-up  Area,18-Apr,Lingadheeranahalli,4 BHK,Theanmp,1440,1.0,3.0,245.2149945274965,1440.0,4,17028.819064409476
Plot  Area,19-May,Whitefield,3 Bedroom,Mainpro,2600,1.0,2.0,213.478077852656,2600.0,3,8210.695302025231
Carpet  Area,Ready To Move,Electronic City Phase II,6 Bedroom,Mainpro,1206,1.0,0.0,275.3373737983589,1206.0,6,22830.62800981417
Carpet  Area,Ready To Move,Uttarahalli,3 Bedroom,SollyCl,2600,1.0,1.0,69.52583094703704,2600.0,3,2674.070421039886
Carpet  Area,Ready To Move,Lingadheeranahalli,3 Bedroom,Coomege ,2700,4.0,0.0,377.28743293053736,2700.0,3,13973.60862705694
Built-up  Area,18-Dec,Uttarahalli,3 Bedroom,Theanmp,1100 - 1500,3.0,2.0,316.4123434697152,1300.0,3,24339.411036131936
Built-up  Area,Ready To Move,Whitefield,6 Bedroom,,1310,1.0,3.0,37.08308701499024,1310.0,6,2830.770001144293
Plot  Area,Ready To Move,Chikka Tirupathi,4 BHK,Prrscly,1440,1.0,3.0,379.64312094049535,1440.0,4,26364.105620867733
Carpet  Area,Ready To Move,Old Airport Road,4 Bedroom,SollyCl,2600,2.0,0.0,210.3838265785904,2600.0,4,8091.685637638092
Super built-up  Area,18-Apr,Rajaji Nagar,3 Bedroom,,1310,2.0,2.0,219.09061056773584,1310.0,3,16724.47408914014
Carpet  Area,Ready To Move,Whitefield,2 BHK,Prrscly,1206,1.0,0.0,332.8717733606026,1206.0,2,27601.30790718098
Carpet  Area,18-Dec,Chikka Tirupathi,2 BHK,Mainpro,2600,2.0,1.0,176.6622906277641,2600.0,2,6794.703485683234
Plot  Area,Ready To Move,Lingadheeranahalli,2 BHK,Coomege ,1056,1.0,3.0,311.821017594081,1056.0,2,29528.505453984944
Built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Coomege ,1100 - 1500,2.0,0.0,95.12315281710738,1300.0,3,7317.165601315953
Super built-up  Area,18-Dec,Lingadheeranahalli,4 Bedroom,,1310,5.0,3.0,164.964264887935,1310.0,4,12592.691976178245
Built-up  Area,Ready To Move,Whitefield,1 BHK,Theanmp,1056,3.0,0.0,145.62451311845956,1056.0,1,13790.200105914731
Plot  Area,19-May,Kothanur,4 BHK,Theanmp,1521,2.0,3.0,239.0543372005453,1521.0,4,15716.918948096338
Plot  Area,Ready To Move,Rajaji Nagar,6 Bedroom,,2600,1.0,2.0,249.3826505847489,2600.0,6,9591.640407105726
Built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,SollyCl,1440,2.0,0.0,190.09239732841843,1440.0,3,13200.860925584613
Super built-up  Area,19-May,Uttarahalli,4 Bedroom,SollyCl,2700,4.0,1.0,272.81853247855827,2700.0,4,10104.390091798454
Super built-up  Area,18-Dec,Chikka Tirupathi,3 BHK,Mainpro,1440,3.0,0.0,355.76418849321504,1440.0,3,24705.846423139934
Carpet  Area,18-Apr,Lingadheeranahalli,1 BHK,Theanmp,1310,3.0,3.0,359.7812381849208,1310.0,1,27464.21665533747
Built-up  Area,18-Dec,Uttarahalli,2 BHK,Mainpro,1521,2.0,1.0,317.36447394356543,1521.0,2,20865.51439471173
Built-up  Area,Ready To Move,Chikka Tirupathi,6 Bedroom,Coomege ,1206,3.0,3.0,280.9157865560197,1206.0,6,23293.182964844087
Plot  Area,Ready To Move,Whitefield,1 BHK,SollyCl,1521,1.0,1.0,391.9381287389481,1521.0,1,25768.450278694814
Plot  Area,19-May,Uttarahalli,3 Bedroom,Prrscly,1056,5.0,2.0,368.0125796003712,1056.0,3,34849.67609852
Built-up  Area,18-Dec,Old Airport Road,2 BHK,Coomege ,2700,1.0,0.0,75.16789744513608,2700.0,2,2783.9962016717063
Plot  Area,19-May,Old Airport Road,1 BHK,,1440,2.0,0.0,34.50520973875445,1440.0,1,2396.195120746837
Super built-up  Area,18-Apr,Chikka Tirupathi,4 BHK,Prrscly,2600,4.0,1.0,352.7240957993035,2600.0,4,13566.311376896288
