Suburb,Address,Rooms,Type,SalePrice,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,HouseAge,Price_per_SqM,TotalRooms
Airport West,Address 10,3.0,t,2209118.0,PI,Jellis,1/01/2016,14.094298877455577,3173.0,5.0,2.0,0.0,357.7914358890437,229.12410213750195,1923.0,Yarra City Council,-37.80432463780549,144.94322526688856,Western Metropolitan,3949.0,103.0,9641.578425801159,5.0
Airport West,Address 11,4.0,t,1070981.0,VB,Biggin,1/01/2016,15.759109450133128,3084.0,3.0,3.0,0.0,740.5951688764679,229.12410213750195,1996.0,Moonee Valley City Council,-37.81521013125243,144.81966406182525,Western Metropolitan,5218.0,30.0,4674.239811564141,7.0
Ashwood,Address 12,4.0,h,1305443.0,SA,Jellis,1/01/2016,8.228872687192547,3176.0,4.0,3.0,0.0,532.9486453756444,229.12410213750195,1935.0,Port Phillip City Council,-37.59406047396562,144.77261783767864,Southern Metropolitan,4483.0,91.0,5697.5367838717275,7.0
Ashburton,Address 13,1.0,u,2548851.0,S,Marshall,1/01/2016,8.866825844682527,3104.0,4.0,1.0,2.0,952.0782904608149,229.12410213750195,1978.0,Yarra City Council,-37.72269058994243,144.8843924581932,Southern Metropolitan,1518.0,48.0,11124.325098153067,2.0
Altona,Address 14,5.0,t,2748561.0,PI,Ray,1/01/2016,17.437834952477743,3047.0,5.0,2.0,0.0,225.45526763168692,229.12410213750195,1960.0,Port Phillip City Council,-37.98882347284451,144.86319983192493,Northern Metropolitan,4845.0,66.0,11995.94880834725,7.0
Altona North,Address 15,4.0,t,956257.0,PI,Jellis,1/01/2016,11.864789831004057,3150.0,1.0,1.0,0.0,684.1308724326869,229.12410213750195,2009.0,Moonee Valley City Council,-37.81828278425943,145.0113356751639,Western Metropolitan,5097.0,17.0,4173.53299403714,5.0
Altona,Address 16,3.0,h,2678792.0,SA,Nelson,1/01/2016,13.924009076318407,3089.0,3.0,1.0,2.0,173.71243424922807,229.12410213750195,1979.0,Yarra City Council,-37.96359849278901,145.44302834552417,Western Metropolitan,7456.0,47.0,11691.445705665672,4.0
Alphington,Address 17,3.0,u,1009085.0,VB,Nelson,1/01/2016,3.14861057211239,3112.0,2.0,3.0,3.0,399.9224231926949,229.12410213750195,1934.0,Port Phillip City Council,-37.830570384999135,144.79282847446865,Western Metropolitan,5790.0,92.0,4404.098000106632,6.0
Abbotsford,Address 18,4.0,t,574778.0,VB,Biggin,1/01/2016,3.5738109014823958,3056.0,1.0,2.0,1.0,841.9958929761473,229.12410213750195,1986.0,Port Phillip City Council,-37.52845120662157,145.14519475916143,Northern Metropolitan,1485.0,40.0,2508.588117259983,6.0
Altona North,Address 19,2.0,t,1882357.0,S,Nelson,1/01/2016,6.748060388892145,3085.0,1.0,1.0,2.0,990.9630351874152,229.12410213750195,2018.0,Yarra City Council,-37.68102205286699,145.35345931931545,Northern Metropolitan,5930.0,8.0,8215.447359921829,3.0
Armadale,Address 20,1.0,t,827555.0,S,Biggin,1/01/2016,15.540160847893436,3197.0,2.0,2.0,3.0,986.5753158885566,229.12410213750195,1915.0,Moonee Valley City Council,-37.53449784607397,144.68457881758866,Northern Metropolitan,5429.0,111.0,3611.8199363564454,3.0
Ascot Vale,Address 21,5.0,h,2431744.0,SA,Ray,1/01/2016,9.08539698900918,3179.0,3.0,3.0,0.0,139.83364243153403,229.12410213750195,1966.0,Moonee Valley City Council,-37.71443841467035,144.8408548599396,Northern Metropolitan,9227.0,60.0,10613.217803427166,8.0
Albert Park,Address 22,1.0,h,977760.0,SP,Ray,1/01/2016,8.010924882706217,3113.0,5.0,3.0,3.0,633.397167665539,229.12410213750195,1973.0,Yarra City Council,-37.67153382934934,145.43466436311127,Southern Metropolitan,8227.0,53.0,4267.381697859209,4.0
Altona North,Address 23,5.0,u,2221752.0,VB,Nelson,1/01/2016,18.965484672646127,3141.0,2.0,2.0,3.0,397.4307168223461,229.12410213750195,1931.0,Port Phillip City Council,-37.969079224646826,144.67116290147902,Northern Metropolitan,5671.0,95.0,9696.718849188037,7.0
Ashwood,Address 24,2.0,h,2429709.0,PI,Biggin,1/01/2016,9.638938353055162,3118.0,2.0,1.0,1.0,741.6736943852769,229.12410213750195,1901.0,Yarra City Council,-37.833912224077366,145.04749875406432,Southern Metropolitan,4926.0,125.0,10604.336153783957,3.0
Airport West,Address 25,2.0,h,2449909.0,PI,Jellis,1/01/2016,17.38075046360796,3181.0,2.0,1.0,1.0,408.76207472025294,229.12410213750195,1992.0,Port Phillip City Council,-37.69934089975769,144.940191429958,Western Metropolitan,9981.0,34.0,10692.497983166173,3.0
Alphington,Address 26,5.0,u,1665993.0,VB,Nelson,1/01/2016,12.296987966338392,3129.0,5.0,2.0,0.0,447.77392462695553,229.12410213750195,1982.0,Yarra City Council,-37.89441197110813,144.6059071316821,Southern Metropolitan,3925.0,44.0,7271.13814940431,7.0
Abbotsford,Address 27,2.0,u,907989.0,VB,Ray,1/01/2016,2.582306380917872,3101.0,1.0,3.0,0.0,942.5166732975108,229.12410213750195,1917.0,Port Phillip City Council,-37.81008470547856,144.96431559835096,Northern Metropolitan,3800.0,109.0,3962.8698662836337,5.0
Abbotsford,Address 28,3.0,u,844317.0,VB,Nelson,1/01/2016,9.84646477278341,3166.0,3.0,3.0,2.0,644.9603860214731,229.12410213750195,1958.0,Moonee Valley City Council,-37.95427010819556,145.21025865342955,Western Metropolitan,2227.0,68.0,3684.9767969556888,6.0
Altona,Address 29,4.0,u,1646977.0,S,Ray,1/01/2016,4.9210018143642085,3154.0,5.0,2.0,0.0,858.774860830737,229.12410213750195,1937.0,Yarra City Council,-37.74603778672418,145.49348234194346,Northern Metropolitan,6926.0,89.0,7188.143825269051,6.0
Abbotsford,Address 30,3.0,h,1840516.0,S,Biggin,1/01/2016,5.960788770313304,3118.0,4.0,3.0,2.0,427.9980790808417,229.12410213750195,1982.0,Yarra City Council,-37.719285572895366,144.81022777955135,Western Metropolitan,5586.0,44.0,8032.834533031665,6.0
Airport West,Address 31,3.0,t,2324319.0,SP,Biggin,1/01/2016,17.414898314361132,3069.0,4.0,3.0,0.0,773.0328223368172,229.12410213750195,1988.0,Yarra City Council,-37.83481162340143,145.4194733673508,Western Metropolitan,8967.0,38.0,10144.367084546739,6.0
Armadale,Address 32,1.0,h,1327429.0,SP,Ray,1/01/2016,10.152935024544371,3030.0,1.0,3.0,1.0,857.0996216225102,229.12410213750195,1960.0,Yarra City Council,-37.62016075068431,145.12861154428063,Northern Metropolitan,8569.0,66.0,5793.493515594371,4.0
Ascot Vale,Address 33,1.0,h,1848111.0,S,Nelson,1/01/2016,9.139484915635316,3097.0,3.0,3.0,0.0,190.84681181991465,229.12410213750195,1924.0,Port Phillip City Council,-37.544716743435366,144.50307557991715,Western Metropolitan,4389.0,102.0,8065.982507989978,4.0
Ascot Vale,Address 34,3.0,t,2798208.0,SP,Nelson,1/01/2016,15.928543027894545,3169.0,1.0,3.0,3.0,595.9136801457719,229.12410213750195,1946.0,Moonee Valley City Council,-37.87170115698843,145.19196161561794,Southern Metropolitan,5256.0,80.0,12212.630508512542,6.0
Abbotsford,Address 35,1.0,u,609667.0,SA,Jellis,1/01/2016,7.949793707816047,3101.0,4.0,3.0,3.0,946.044181916836,229.12410213750195,1914.0,Moonee Valley City Council,-37.91987703287765,144.92333213730456,Northern Metropolitan,8092.0,112.0,2660.8593086122673,4.0
Armadale,Address 36,3.0,u,1031830.0,PI,Marshall,1/01/2016,14.92070212391594,3091.0,5.0,3.0,3.0,351.3339043535242,229.12410213750195,2001.0,Port Phillip City Council,-37.83897070853208,145.07258239672606,Southern Metropolitan,3687.0,25.0,4503.367347101608,6.0
Airport West,Address 37,5.0,t,1746346.0,VB,Marshall,1/01/2016,4.780498761469133,3003.0,4.0,3.0,2.0,462.89056236268846,229.12410213750195,1983.0,Port Phillip City Council,-37.61819821167919,144.59483837476262,Southern Metropolitan,6499.0,43.0,7621.83455912457,8.0
Ashburton,Address 38,2.0,h,2048196.0,VB,Marshall,1/01/2016,18.737729003181784,3195.0,3.0,3.0,1.0,877.7614954344562,229.12410213750195,1921.0,Yarra City Council,-37.816154536253705,144.82270764752562,Southern Metropolitan,7283.0,105.0,8939.24288580883,5.0
Abbotsford,Address 39,4.0,u,1085362.0,SP,Biggin,1/01/2016,16.877047173221374,3115.0,1.0,3.0,0.0,792.4726133453061,229.12410213750195,1990.0,Yarra City Council,-37.60315604520173,144.86257935030773,Western Metropolitan,7999.0,36.0,4737.00492385848,7.0
Ashburton,Address 40,2.0,h,1519203.0,S,Biggin,1/01/2016,3.106431863684517,3088.0,4.0,2.0,3.0,217.8078564359249,229.12410213750195,1926.0,Yarra City Council,-37.7492145445266,144.68233614565443,Southern Metropolitan,1157.0,100.0,6630.480974403539,4.0
Armadale,Address 41,3.0,t,1634504.0,SA,Jellis,1/01/2016,5.430488674407014,3139.0,5.0,1.0,3.0,633.7685509828443,229.12410213750195,1954.0,Yarra City Council,-37.89679349057278,145.07408339726246,Southern Metropolitan,1445.0,72.0,7133.706077849032,4.0
Altona North,Address 42,1.0,t,2273996.0,PI,Marshall,1/01/2016,6.58998413191574,3101.0,4.0,2.0,1.0,612.4294130581844,229.12410213750195,1945.0,Moonee Valley City Council,-37.88438724694453,145.46624990783658,Western Metropolitan,5689.0,81.0,9924.735018210042,3.0
Armadale,Address 43,2.0,h,1355079.0,PI,Ray,1/01/2016,3.243893208974008,3085.0,1.0,3.0,3.0,966.1628719947367,229.12410213750195,1960.0,Moonee Valley City Council,-37.90148662387624,144.79088630360357,Southern Metropolitan,5441.0,66.0,5914.17047512003,5.0
Abbotsford,Address 44,1.0,u,2512765.0,PI,Biggin,1/01/2016,7.852205418308052,3023.0,5.0,3.0,2.0,645.1749645145154,229.12410213750195,1976.0,Moonee Valley City Council,-37.91722107020957,145.4578479109884,Northern Metropolitan,5664.0,50.0,10966.829663742838,4.0
Ashwood,Address 45,3.0,h,640782.0,SP,Marshall,1/01/2016,9.675799998347532,3127.0,4.0,2.0,0.0,679.1371662181084,229.12410213750195,1963.0,Yarra City Council,-37.6057990976386,144.6818171326596,Southern Metropolitan,5609.0,63.0,2796.659076989875,5.0
Altona,Address 46,1.0,h,2610862.0,VB,Ray,1/01/2016,8.16069494889926,3112.0,2.0,2.0,1.0,302.9732384782217,229.12410213750195,1906.0,Moonee Valley City Council,-37.50368676905226,144.90911573951,Southern Metropolitan,4354.0,120.0,11394.968821015476,3.0
Ashburton,Address 47,3.0,t,2680101.0,VB,Biggin,1/01/2016,5.316119390625279,3163.0,4.0,3.0,3.0,904.7870266657408,229.12410213750195,1996.0,Port Phillip City Council,-37.881683178348936,145.38618102105275,Southern Metropolitan,3525.0,30.0,11697.15876678752,6.0
Albert Park,Address 48,5.0,h,550818.0,PI,Biggin,1/01/2016,12.667713552562814,3070.0,3.0,3.0,0.0,247.1017666754223,229.12410213750195,1905.0,Yarra City Council,-37.71525354966955,144.66887188422083,Western Metropolitan,8583.0,121.0,2404.0159671610763,8.0
Ashwood,Address 49,4.0,u,1467967.0,VB,Biggin,1/01/2016,7.420622717696302,3017.0,3.0,2.0,3.0,149.76278760891725,229.12410213750195,1903.0,Yarra City Council,-37.86042636600684,145.07245296082664,Western Metropolitan,7191.0,123.0,6406.864167956646,6.0
Albert Park,Address 50,4.0,t,2804435.0,VB,Marshall,1/01/2016,10.67816686588186,3151.0,5.0,1.0,0.0,937.0448193347617,331.0353128952727,1960.0,Port Phillip City Council,-37.88252816012376,144.73314269988168,Western Metropolitan,8193.0,66.0,8471.709484622927,5.0
Alphington,Address 51,2.0,t,1047989.0,SA,Jellis,1/01/2016,9.483517136124608,3131.0,1.0,2.0,0.0,919.7573521959912,238.77701049542972,1960.0,Moonee Valley City Council,-37.57344528571207,145.16249469994258,Southern Metropolitan,5859.0,66.0,4388.986183492145,4.0
Albert Park,Address 52,5.0,h,865990.0,S,Nelson,1/01/2016,11.958838590572396,3021.0,3.0,3.0,1.0,833.7876423745253,276.77349122711416,1960.0,Moonee Valley City Council,-37.85436594926386,144.81078804846086,Southern Metropolitan,5928.0,66.0,3128.8762379681366,8.0
Ashwood,Address 53,5.0,u,2267590.0,VB,Marshall,1/01/2016,6.00547125679016,3186.0,4.0,2.0,2.0,589.4907420326872,202.7147940509426,1960.0,Yarra City Council,-37.80427154366838,144.51826984440822,Northern Metropolitan,1695.0,66.0,11186.110074581682,7.0
Ashburton,Address 54,5.0,h,2292463.0,VB,Jellis,1/01/2016,9.457726292981778,3026.0,1.0,2.0,1.0,166.27006040644466,163.5293771938538,1960.0,Port Phillip City Council,-37.94228425706932,144.67485345254266,Southern Metropolitan,4411.0,66.0,14018.661596701546,7.0
Armadale,Address 55,1.0,h,827323.0,SP,Ray,1/01/2016,17.166125665812665,3075.0,3.0,3.0,2.0,313.9515514472502,215.388632737893,1960.0,Yarra City Council,-37.65951783911215,145.39476541751225,Western Metropolitan,7076.0,66.0,3841.0708563565263,4.0
Abbotsford,Address 56,4.0,h,804586.0,SA,Marshall,1/01/2016,13.68872683727878,3018.0,1.0,2.0,3.0,466.4878715592138,84.84585820933857,1960.0,Yarra City Council,-37.73486308745939,144.84091938862306,Northern Metropolitan,3113.0,66.0,9482.914275141873,6.0
Armadale,Address 57,1.0,t,1235104.0,SP,Biggin,1/01/2016,16.742859779186848,3018.0,3.0,2.0,3.0,986.4754466035378,398.8041566396457,1960.0,Yarra City Council,-37.96136850104733,145.36398391307736,Northern Metropolitan,4127.0,66.0,3097.018873642343,3.0
Ascot Vale,Address 58,5.0,t,927293.0,PI,Jellis,1/01/2016,5.701118145008374,3077.0,1.0,3.0,2.0,952.8740017470584,152.86253448532457,1960.0,Port Phillip City Council,-37.90867958457775,145.22631179169218,Western Metropolitan,9834.0,66.0,6066.188835100231,8.0
Ashwood,Address 59,5.0,h,727970.0,S,Marshall,1/01/2016,2.0941138054148163,3058.0,5.0,2.0,1.0,988.8745097795074,213.94270990316625,1960.0,Yarra City Council,-37.53565482843885,145.40967820806833,Western Metropolitan,2272.0,66.0,3402.6398951826422,7.0
Altona North,Address 60,2.0,u,871529.0,SP,Biggin,1/01/2016,18.108808875039813,3107.0,1.0,1.0,0.0,964.483851120139,349.95449102224177,1960.0,Yarra City Council,-37.60225282735568,145.0220085380303,Northern Metropolitan,5927.0,66.0,2490.4066738912315,3.0
Altona,Address 61,2.0,h,1309847.0,SP,Ray,1/01/2016,4.8398101455429705,3050.0,3.0,1.0,2.0,465.38248793277467,386.0508309106026,1960.0,Port Phillip City Council,-37.91062807347279,145.38260494944615,Northern Metropolitan,3713.0,66.0,3392.939206762956,3.0
Armadale,Address 62,4.0,h,1789858.0,VB,Nelson,1/01/2016,5.720605451595663,3070.0,2.0,2.0,2.0,154.28230383727404,264.384934655276,1960.0,Yarra City Council,-37.5106423655387,145.25607871478763,Southern Metropolitan,8756.0,66.0,6769.894065006937,6.0
Armadale,Address 63,2.0,h,2177212.0,VB,Jellis,1/01/2016,16.362409998316867,3104.0,2.0,3.0,3.0,327.20637014294886,169.0502147079232,1960.0,Moonee Valley City Council,-37.548731305675815,144.50955039079494,Southern Metropolitan,3044.0,66.0,12879.08450019825,5.0
Ashwood,Address 64,2.0,u,2365687.0,S,Biggin,1/01/2016,16.569192190575176,3127.0,4.0,3.0,0.0,677.5767613506002,100.13597646097428,1960.0,Port Phillip City Council,-37.611501828614536,144.62502449296605,Northern Metropolitan,2940.0,66.0,23624.74590660204,5.0
Abbotsford,Address 65,1.0,u,2917170.0,VB,Ray,1/01/2016,6.127745343084278,3097.0,1.0,3.0,2.0,810.3448977278941,120.02424577070416,1960.0,Moonee Valley City Council,-37.68833528783607,144.97249592447693,Northern Metropolitan,1370.0,66.0,24304.839253670452,4.0
Armadale,Address 66,4.0,u,1885878.0,SA,Nelson,1/01/2016,14.992909548669328,3113.0,4.0,1.0,2.0,102.55540944289363,89.31727541803279,1960.0,Port Phillip City Council,-37.801549141778274,144.88428632666546,Southern Metropolitan,4775.0,66.0,21114.369993637858,5.0
Armadale,Address 67,5.0,t,786160.0,SP,Marshall,1/01/2016,14.161420799422318,3188.0,5.0,1.0,3.0,335.4512829555366,375.8608900181408,1960.0,Port Phillip City Council,-37.748509842744376,144.67256634531356,Northern Metropolitan,4218.0,66.0,2091.624909316998,6.0
Albert Park,Address 68,2.0,h,1657311.0,S,Marshall,1/01/2016,16.211386150369172,3138.0,4.0,3.0,1.0,542.5808707512851,340.52760355481,1960.0,Yarra City Council,-37.787179737444056,145.01586202008428,Western Metropolitan,7865.0,66.0,4866.891795845988,5.0
Armadale,Address 69,1.0,t,2362975.0,SA,Biggin,1/01/2016,6.524012380125444,3103.0,1.0,2.0,1.0,662.3093842836498,346.1724726517738,1960.0,Port Phillip City Council,-37.79528357012805,145.04649815019454,Southern Metropolitan,3492.0,66.0,6826.00491569702,3.0
Ashburton,Address 70,5.0,t,2588082.0,SA,Biggin,1/01/2016,3.149426558739542,3011.0,1.0,1.0,2.0,269.7051091447287,259.5233778354874,1960.0,Port Phillip City Council,-37.71706073200168,144.5259110790521,Southern Metropolitan,8150.0,66.0,9972.442643069298,6.0
Abbotsford,Address 71,5.0,h,1083845.0,SP,Biggin,1/01/2016,8.856711975585757,3132.0,3.0,1.0,1.0,718.0063673209877,62.77864226178895,1960.0,Yarra City Council,-37.71917373846669,145.3192030800453,Northern Metropolitan,8998.0,66.0,17264.54986841435,6.0
Altona North,Address 72,5.0,t,2074922.0,S,Marshall,1/01/2016,19.059765247587094,3107.0,2.0,1.0,3.0,378.08769001056817,308.5379267705577,1960.0,Moonee Valley City Council,-37.83016696209382,145.39197795838456,Southern Metropolitan,5995.0,66.0,6725.014398450285,6.0
Albert Park,Address 73,4.0,t,1555792.0,S,Biggin,1/01/2016,14.817717177888536,3010.0,1.0,1.0,2.0,862.405776832956,357.5085566002282,1960.0,Port Phillip City Council,-37.73250705304146,144.65058097988668,Southern Metropolitan,2260.0,66.0,4351.761576827688,5.0
Altona,Address 74,4.0,h,2099476.0,VB,Ray,1/01/2016,15.353207222862329,3158.0,1.0,2.0,1.0,186.5123777738521,92.60617582786357,1960.0,Moonee Valley City Council,-37.9856128847092,145.0334429302945,Southern Metropolitan,4263.0,66.0,22671.014986111808,6.0
Ashwood,Address 75,2.0,t,1871167.0,SP,Marshall,1/01/2016,12.664975461372157,3050.0,1.0,3.0,3.0,606.693832656746,158.79324474788302,1960.0,Yarra City Council,-37.838740947759455,145.11866484433625,Southern Metropolitan,7714.0,66.0,11783.6687761552,5.0
Airport West,Address 76,1.0,h,2695927.0,SA,Jellis,1/01/2016,19.097570118141928,3155.0,5.0,1.0,2.0,496.3189461201558,340.20134825462014,1960.0,Port Phillip City Council,-37.96427739985868,144.50519571135823,Southern Metropolitan,3625.0,66.0,7924.50416152455,2.0
Armadale,Address 77,3.0,u,694659.0,SA,Nelson,1/01/2016,7.163744464785116,3116.0,3.0,3.0,3.0,780.4744010600673,362.5103770721423,1960.0,Yarra City Council,-37.73415922571433,144.79700411214634,Southern Metropolitan,1897.0,66.0,1916.2458344240931,6.0
Ascot Vale,Address 78,3.0,u,1132717.0,S,Nelson,1/01/2016,9.706311543943617,3093.0,5.0,1.0,2.0,673.7251023122362,245.20246622899188,1960.0,Yarra City Council,-37.530843697978426,145.083766231077,Western Metropolitan,4607.0,66.0,4619.517158290602,4.0
Ashburton,Address 79,4.0,h,2311382.0,SP,Jellis,1/01/2016,11.002167737210272,3190.0,3.0,3.0,2.0,884.4981910019372,62.330681403535536,1960.0,Yarra City Council,-37.50809503611953,145.05450667720467,Northern Metropolitan,8882.0,66.0,37082.57230553705,7.0
Airport West,Address 80,4.0,h,911580.0,SA,Nelson,1/01/2016,16.807803284890937,3116.0,3.0,2.0,1.0,342.7587181571268,154.16373432282234,1960.0,Port Phillip City Council,-37.75696564833612,145.38623541637756,Southern Metropolitan,3384.0,66.0,5913.063821424635,6.0
Ascot Vale,Address 81,4.0,h,1828353.0,SP,Nelson,1/01/2016,18.716277829214903,3134.0,5.0,1.0,1.0,409.4785491570413,244.3297237609852,1960.0,Port Phillip City Council,-37.749074082787146,145.2190178389525,Northern Metropolitan,3589.0,66.0,7483.1378346278525,5.0
Armadale,Address 82,4.0,t,2723734.0,VB,Biggin,1/01/2016,7.263186507278792,3005.0,2.0,1.0,0.0,916.055522309842,206.5836039277333,1960.0,Moonee Valley City Council,-37.89409685367511,144.6084553225055,Northern Metropolitan,3339.0,66.0,13184.657195509144,5.0
Ashwood,Address 83,5.0,h,878268.0,VB,Ray,1/01/2016,7.972036226191983,3098.0,2.0,3.0,3.0,358.4225717951035,360.7783678704898,1960.0,Yarra City Council,-37.51473971603073,145.23345827462813,Western Metropolitan,9858.0,66.0,2434.3699018985412,8.0
Ashwood,Address 84,5.0,u,2880825.0,SP,Nelson,1/01/2016,18.310531828330586,3193.0,1.0,3.0,0.0,341.2004837292239,232.49904460692636,1960.0,Port Phillip City Council,-37.82212701054307,144.61360448212463,Western Metropolitan,5788.0,66.0,12390.696077355742,8.0
Altona,Address 85,2.0,h,2410252.0,SP,Ray,1/01/2016,5.48861575093686,3031.0,4.0,1.0,3.0,948.2919495916876,392.7635822142453,1960.0,Moonee Valley City Council,-37.61397052556848,144.84962954700967,Southern Metropolitan,1381.0,66.0,6136.648378681026,3.0
Ascot Vale,Address 86,2.0,u,2003255.0,SA,Marshall,1/01/2016,7.010085941564866,3042.0,2.0,2.0,1.0,305.60317428037524,97.57155811384706,1960.0,Port Phillip City Council,-37.88718818545527,145.3756395793707,Western Metropolitan,8534.0,66.0,20531.13672390668,4.0
Ashwood,Address 87,4.0,t,2264588.0,S,Ray,1/01/2016,11.381033975652429,3016.0,5.0,3.0,0.0,258.1157988932914,235.0316839989076,1960.0,Moonee Valley City Council,-37.89133301063868,144.75336398375202,Western Metropolitan,8035.0,66.0,9635.245603782192,7.0
Albert Park,Address 88,2.0,t,2156923.0,SP,Nelson,1/01/2016,15.830461958858397,3044.0,3.0,3.0,0.0,308.4136203325462,297.53807107641705,1960.0,Moonee Valley City Council,-37.53783159235813,145.04755943539314,Southern Metropolitan,7644.0,66.0,7249.233660071806,5.0
Alphington,Address 89,4.0,h,2388874.0,S,Biggin,1/01/2016,12.331876936128122,3028.0,5.0,2.0,3.0,584.0531680556628,144.90531345887962,1960.0,Moonee Valley City Council,-37.94233977691341,144.53578201446786,Northern Metropolitan,9031.0,66.0,16485.75847895254,6.0
Armadale,Address 90,3.0,t,1206592.0,SA,Ray,1/01/2016,14.021201640181973,3124.0,3.0,1.0,3.0,810.79814704299,206.60281575133536,1960.0,Port Phillip City Council,-37.57380528077427,144.83551073346982,Northern Metropolitan,1803.0,66.0,5840.152737570816,4.0
Altona,Address 91,3.0,t,517588.0,VB,Ray,1/01/2016,7.969133058005555,3044.0,4.0,3.0,0.0,327.94943198048725,98.37736452295792,1960.0,Port Phillip City Council,-37.691596466468994,144.68002511336965,Western Metropolitan,7990.0,66.0,5261.250924029507,6.0
Airport West,Address 92,1.0,u,1531081.0,SP,Jellis,1/01/2016,7.62045411169238,3055.0,1.0,2.0,1.0,830.9238629654571,322.9649286561273,1960.0,Moonee Valley City Council,-37.77181437062409,144.7290666563443,Southern Metropolitan,8711.0,66.0,4740.703600142908,3.0
Ashburton,Address 93,5.0,t,2354950.0,SP,Marshall,1/01/2016,7.528979616513248,3148.0,1.0,1.0,2.0,322.01771568947686,312.84122910251193,1960.0,Moonee Valley City Council,-37.58117302152209,145.4942424444014,Southern Metropolitan,3657.0,66.0,7527.620341973306,6.0
Armadale,Address 94,3.0,t,1606277.0,PI,Jellis,1/01/2016,17.015821697697383,3131.0,5.0,2.0,1.0,688.0744473610587,365.4921351272598,1960.0,Yarra City Council,-37.92300249013143,145.06644782724953,Southern Metropolitan,5681.0,66.0,4394.833282638802,5.0
Alphington,Address 95,3.0,u,2958740.0,S,Nelson,1/01/2016,9.768426366715264,3143.0,1.0,2.0,2.0,846.9452677548502,281.00520080903925,1960.0,Yarra City Council,-37.726302942425896,144.91483953706887,Southern Metropolitan,9123.0,66.0,10529.128968010276,5.0
Ashwood,Address 96,3.0,u,2904581.0,SA,Ray,1/01/2016,11.911006090867044,3049.0,4.0,2.0,3.0,830.6316126387051,114.38428026747772,1960.0,Moonee Valley City Council,-37.59330599452236,144.52826722900195,Western Metropolitan,2485.0,66.0,25393.183339597796,5.0
